iter	RMSE
0	1.557271658
1	1.490022907
2	1.426651669
3	1.366551721
4	1.309534728
5	1.25581512
6	1.205072035
7	1.156980119
8	1.111831093
9	1.068963792
10	1.028692059
11	0.9905294656
12	0.9544737094
13	0.9207184296
14	0.8888193113
15	0.8587890076
16	0.8305590473
17	0.8043456245
18	0.7795422961
19	0.7565550508
20	0.735038765
21	0.7147931932
22	0.6960351292
23	0.6785292774
24	0.6623104517
25	0.6469458687
26	0.6325345044
27	0.6189986925
28	0.6067631368
29	0.5952633407
30	0.5845782633
31	0.5745973026
32	0.565442268
33	0.5570019312
34	0.5489422268
35	0.5414391086
36	0.5348096258
37	0.5283646951
38	0.5224726352
39	0.5172000866
40	0.5123576783
41	0.5078906629
42	0.5037258918
43	0.4996622568
44	0.4961768989
45	0.492801944
46	0.4898308273
47	0.4871315057
48	0.4845928513
49	0.4821530761
50	0.4800199781
51	0.4779210798
52	0.4761295131
53	0.4744271405
54	0.4728907151
55	0.4714812102
56	0.4700263009
57	0.4685843952
58	0.467462577
59	0.4664513208
60	0.4653954591
61	0.4642457499
62	0.4631634567
63	0.4623802586
64	0.4616510398
65	0.4609244888
66	0.4603053605
67	0.4597300862
68	0.4590674007
69	0.4585728547
70	0.457858186
71	0.457305205
72	0.456887283
73	0.4564649426
74	0.4560594676
75	0.4557294642
76	0.4553621605
77	0.4548215482
78	0.4542565313
79	0.4537690349
80	0.4533225368
81	0.4530044745
82	0.4525693041
83	0.4523282874
84	0.4520531003
85	0.4518349997
86	0.4515867619
87	0.4511812754
88	0.4509770801
89	0.4505847363
90	0.4504329531
91	0.4502411595
92	0.4500516232
93	0.4496944252
94	0.449467681
95	0.4493372239
96	0.4489939513
97	0.4487303216
98	0.4485756579
99	0.448420202
100	0.4482091133
101	0.4480250492
102	0.4478740926
103	0.4476347949
104	0.4474348866
105	0.4473052939
106	0.4470386281
107	0.4469353559
108	0.4468044825
109	0.446658774
110	0.4464553177
111	0.446221037
112	0.4461282132
113	0.4459983325
114	0.4458522995
115	0.445694619
116	0.4456276194
117	0.4455281129
118	0.4453645289
119	0.4451599496
120	0.4450149495
121	0.4448142926
122	0.4447543829
123	0.4445764422
124	0.4445074893
125	0.4443519773
126	0.4442604698
127	0.4441399485
128	0.4440916485
129	0.4439331776
130	0.4437668275
131	0.4436629067
132	0.4435895631
133	0.4434238527
134	0.4432802063
135	0.4431348873
136	0.4430188933
137	0.442952219
138	0.4427590866
139	0.4426479671
140	0.4425349094
141	0.4424191058
142	0.4422254326
143	0.4421723754
144	0.4420731804
145	0.4419358315
146	0.4418229857
147	0.4417667875
148	0.4416143588
149	0.4415022604
150	0.44134503
151	0.4412907809
152	0.4411796097
153	0.4410670945
154	0.4409611004
155	0.4408747504
156	0.4407522989
157	0.4407048148
158	0.4406150418
159	0.4404495677
160	0.4403859821
161	0.4402633955
162	0.4401827039
163	0.4400706367
164	0.4399682983
165	0.4398817005
166	0.4398061449
167	0.4397552537
168	0.4396947563
169	0.4395804716
170	0.439514038
171	0.4394370389
172	0.4393019733
173	0.4392450493
174	0.4391625396
175	0.4390335242
176	0.4389358452
177	0.4388935299
178	0.4387834335
179	0.4387189216
180	0.4386625442
181	0.438580933
182	0.4384745235
183	0.4383695515
184	0.4382528697
185	0.4381287981
186	0.4380499704
187	0.437970074
188	0.4378525721
189	0.4377891473
190	0.4377241802
191	0.4376292347
192	0.437579987
193	0.4375174714
194	0.4374270586
195	0.4373483086
196	0.4372639153
197	0.4371773221
198	0.4371098407
199	0.4370557014
200	0.4369689871
201	0.4368892627
202	0.4368234002
203	0.4367695592
204	0.4366565771
205	0.4365822833
206	0.436524627
207	0.4364681762
208	0.4363911456
209	0.4362960435
210	0.4362072098
211	0.4361290328
212	0.4360573647
213	0.4360066056
214	0.435901636
215	0.435817628
216	0.435726831
217	0.4356546395
218	0.4355371909
219	0.435477233
220	0.4354156014
221	0.4353228372
222	0.435243853
223	0.4351283543
224	0.4350585455
225	0.4349686274
226	0.4348860828
227	0.4348321601
228	0.4347203967
229	0.4346537712
230	0.4345815909
231	0.4345383347
232	0.4344584298
233	0.4344118712
234	0.4343051479
235	0.4342350991
236	0.4341304893
237	0.4340426171
238	0.4339957234
239	0.4339621057
240	0.4338938976
241	0.4338575122
242	0.4337862599
243	0.4337363673
244	0.4336656081
245	0.4335740674
246	0.4335250077
247	0.4334705091
248	0.4333861325
249	0.433314083
250	0.4332576994
251	0.4332086992
252	0.4331536951
253	0.4330700724
254	0.4330045816
255	0.4329602411
256	0.4328793774
257	0.4327894552
258	0.432738614
259	0.4327074936
260	0.4326022903
261	0.4325386242
262	0.4324746019
263	0.4324070013
264	0.4323490469
265	0.4322699251
266	0.4321708698
267	0.4320696312
268	0.4320141191
269	0.4319537338
270	0.4319089752
271	0.4318692834
272	0.4318062834
273	0.4317766599
274	0.4316908381
275	0.4316104473
276	0.4315624483
277	0.4314884711
278	0.4314321457
279	0.4313704409
280	0.4313199088
281	0.4312697579
282	0.4312278974
283	0.4311868889
284	0.4311379683
285	0.4310933479
286	0.4310203369
287	0.4309628394
288	0.4309096212
289	0.430854974
290	0.4308208845
291	0.4307712604
292	0.4307059636
293	0.4306543894
294	0.4305828297
295	0.4305331808
296	0.4304597559
297	0.4304041306
298	0.4303372451
299	0.4302808541
300	0.430262403
301	0.4302091059
302	0.4301494519
303	0.430090983
304	0.4300295847
305	0.4299707565
306	0.4299162383
307	0.4298764995
308	0.429841714
309	0.4297904998
310	0.4297305564
311	0.4296857017
312	0.4296337881
313	0.4296034331
314	0.4295655484
315	0.4295387529
316	0.4294763581
317	0.4294319116
318	0.429365224
319	0.4293121435
320	0.4292791171
321	0.429236125
322	0.4291867757
323	0.4291408529
324	0.429086803
325	0.4290301819
326	0.4289884937
327	0.428952216
328	0.4288927856
329	0.4288444875
330	0.4288007198
331	0.428751085
332	0.4287088961
333	0.4286531173
334	0.4286199516
335	0.42855714
336	0.4285168686
337	0.428466511
338	0.4284103781
339	0.4283909637
340	0.4283580331
341	0.4283164372
342	0.4282743765
343	0.4282287786
344	0.4282110571
345	0.4281793233
346	0.4281455442
347	0.4281024907
348	0.4280547135
349	0.4280014017
350	0.4279621926
351	0.4279112084
352	0.4278645472
353	0.427797197
354	0.4277451033
355	0.4276593628
356	0.4276179236
357	0.4275909457
358	0.4275386908
359	0.4275001547
360	0.4274723121
361	0.4274269058
362	0.4273859241
363	0.4273510557
364	0.4272863569
365	0.4272632876
366	0.427222848
367	0.4271767066
368	0.4271415022
369	0.4270560908
370	0.4269993415
371	0.4269440839
372	0.4268962941
373	0.4268513572
374	0.4268024715
375	0.4267666482
376	0.4267323922
377	0.4267014331
378	0.4266599188
379	0.4266173207
380	0.4265974451
381	0.4265599586
382	0.4265318832
383	0.4264744949
384	0.4264347309
385	0.4264180301
386	0.4263727999
387	0.4263482064
388	0.4263047698
389	0.4262743949
390	0.4262486067
391	0.426209401
392	0.4261661757
393	0.4261435909
394	0.4261102901
395	0.4260878677
396	0.4260564246
397	0.4260246509
398	0.4260075443
399	0.4259398527
400	0.4259188766
401	0.4258844003
402	0.4258473106
403	0.425789499
404	0.425742641
405	0.4257096602
406	0.4256804331
407	0.4256269481
408	0.4255861354
409	0.4255389616
410	0.4254799078
411	0.4254564972
412	0.4254392975
413	0.4254002502
414	0.4253702435
415	0.4253500344
416	0.4253008309
417	0.4252624497
418	0.4252196505
419	0.4251979142
420	0.4251393622
421	0.425083639
422	0.4250299576
423	0.4250092139
424	0.424969897
425	0.4249327894
426	0.4248851633
427	0.4248573457
428	0.4248386129
429	0.4247986526
430	0.4247786251
431	0.424747093
432	0.4247034157
433	0.4246791506
434	0.4246510997
435	0.4246342133
436	0.4245822433
437	0.4245509589
438	0.4245161867
439	0.4244836972
440	0.4244467548
441	0.4244191398
442	0.424368088
443	0.4243353315
444	0.4243072128
445	0.4242679908
446	0.4242345283
447	0.4242044589
448	0.4241781765
449	0.4241240058
450	0.4240856353
451	0.4240712398
452	0.4240419754
453	0.4240066025
454	0.423962642
455	0.4239218323
456	0.423891506
457	0.4238632814
458	0.4238494401
459	0.4238164986
460	0.4237819339
461	0.4237459306
462	0.4237011171
463	0.423686777
464	0.4236642267
465	0.423619649
466	0.4235999417
467	0.4235630272
468	0.4235185351
469	0.423470663
470	0.4234421939
471	0.4234094816
472	0.4233781596
473	0.4233339212
474	0.4233069638
475	0.4232820616
476	0.4232526983
477	0.4232059548
478	0.4231661297
479	0.4231442116
480	0.4231054302
481	0.4230726067
482	0.4230430565
483	0.423019861
484	0.4229945129
485	0.4229557332
486	0.4229292432
487	0.4228868744
488	0.4228601105
489	0.4228195992
490	0.422799051
491	0.4227750482
492	0.4227319524
493	0.4227181049
494	0.4226912177
495	0.4226577316
496	0.4226351715
497	0.4226024885
498	0.4225859044
499	0.4225539203
500	0.422516546
501	0.4224771631
502	0.4224336938
503	0.4223978806
504	0.4223731531
505	0.4223461062
506	0.4223129166
507	0.4222982749
508	0.4222682616
509	0.4222477512
510	0.4222155234
511	0.4221804495
512	0.4221550949
513	0.422114827
514	0.4220586755
515	0.4220370387
516	0.4220141777
517	0.4219947133
518	0.4219670674
519	0.421940876
520	0.4219160554
521	0.4218890125
522	0.4218719912
523	0.4218373701
524	0.4218134581
525	0.4217914311
526	0.4217785861
527	0.4217685917
528	0.4217352864
529	0.4217033768
530	0.4216689209
531	0.4216410071
532	0.4216032232
533	0.4215777103
534	0.4215522191
535	0.4215322667
536	0.4215061157
537	0.4214722005
538	0.4214436774
539	0.4214215747
540	0.4213873506
541	0.4213701243
542	0.4213512237
543	0.4213150199
544	0.421282973
545	0.4212663222
546	0.4212298801
547	0.4211993566
548	0.4211512762
549	0.4211262746
550	0.4211157611
551	0.4211016704
