iter	Passed	Remaining
0	565	565349
1	957	477927
2	1345	447009
3	1681	418765
4	1990	396080
5	2256	373794
6	2560	363270
7	2920	362125
8	3185	350734
9	3455	342143
10	3729	335296
11	4048	333349
12	4378	332451
13	4649	327444
14	4940	324417
15	5264	323795
16	5543	320535
17	5833	318248
18	6194	319838
19	6575	322215
20	6904	321870
21	7281	323705
22	7723	328061
23	8673	352736
24	9312	363187
25	9904	371054
26	10242	369117
27	10618	368630
28	10943	366430
29	11314	365837
30	11714	366164
31	12025	363774
32	12381	362823
33	12751	362286
34	13096	361099
35	13449	360145
36	13891	361564
37	14287	361707
38	14641	360793
39	15027	360670
40	15376	359663
41	15687	357816
42	16008	356283
43	16373	355740
44	16724	354940
45	17065	353925
46	17426	353346
47	17796	352959
48	18214	353512
49	18540	352270
50	18912	351925
51	19295	351772
52	19788	353584
53	20145	352920
54	20778	357013
55	21221	357733
56	21722	359373
57	22117	359220
58	22453	358116
59	22813	357410
60	23161	356536
61	23527	355941
62	23931	355934
63	24337	355933
64	24748	355997
65	25134	355692
66	25532	355552
67	25925	355328
68	26342	355434
69	26732	355156
70	27056	354016
71	27440	353678
72	27845	353599
73	28263	353674
74	28712	354125
75	29099	353783
76	29471	353269
77	29879	353194
78	30356	353905
79	30762	353773
80	31222	354235
81	31640	354214
82	32023	353801
83	32420	353539
84	32760	352653
85	33149	352310
86	33522	351788
87	33926	351598
88	34291	351003
89	34656	350411
90	35043	350054
91	35372	349106
92	35747	348638
93	36111	348054
94	36477	347491
95	36882	347308
96	37295	347189
97	37698	346978
98	38186	347532
99	38551	346966
100	39044	347531
101	39409	346958
102	39805	346655
103	40141	345833
104	40540	345558
105	40900	344955
106	41356	345152
107	41735	344707
108	42129	344379
109	42461	343555
110	42806	342839
111	43202	342537
112	43495	341424
113	43935	341462
114	44275	340726
115	44674	340449
116	45055	340036
117	45410	339423
118	45749	338700
119	46225	338989
120	46683	339134
121	47039	338528
122	47426	338156
123	47799	337680
124	48162	337136
125	48538	336687
126	48952	336499
127	49347	336181
128	49765	336013
129	50231	336164
130	50679	336184
131	51108	336078
132	51468	335509
133	51840	335031
134	52349	335421
135	52719	334922
136	53137	334726
137	53557	334542
138	53957	334224
139	54366	333966
140	54753	333569
141	55196	333514
142	55560	332975
143	55881	332185
144	56364	332356
145	56863	332611
146	57249	332203
147	57555	331334
148	57939	330914
149	58361	330714
150	58801	330614
151	59140	329942
152	59517	329483
153	59854	328812
154	60249	328456
155	60612	327927
156	61033	327716
157	61384	327123
158	61938	327614
159	62393	327563
160	62732	326912
161	63082	326314
162	63418	325649
163	63798	325214
164	64200	324894
165	64572	324416
166	64931	323881
167	65282	323301
168	65619	322662
169	66036	322413
170	66351	321668
171	66761	321386
172	67158	321041
173	67520	320527
174	67903	320117
175	68331	319913
176	68679	319342
177	69140	319288
178	69563	319057
179	69925	318548
180	70256	317899
181	70603	317329
182	70992	316945
183	71424	316753
184	71791	316271
185	72121	315630
186	72530	315331
187	72862	314704
188	73265	314383
189	73655	314006
190	74003	313447
191	74347	312880
192	74708	312381
193	75021	311688
194	75474	311572
195	75843	311114
196	76246	310793
197	76595	310249
198	77048	310127
199	77467	309869
200	77828	309376
201	78178	308843
202	78548	308389
203	78946	308044
204	79431	308038
205	79827	307685
206	80226	307342
207	80568	306779
208	80963	306421
209	81362	306079
210	81727	305605
211	82120	305241
212	82511	304864
213	82922	304566
214	83319	304214
215	83667	303682
216	84144	303617
217	84667	303716
218	85116	303542
219	85545	303296
220	85915	302842
221	86448	302960
222	86918	302849
223	87331	302539
224	87685	302027
225	88151	301899
226	88522	301443
227	88964	301229
228	89417	301053
229	89828	300731
230	90187	300235
231	90564	299799
232	90995	299544
233	91488	299488
234	91910	299198
235	92262	298681
236	92697	298430
237	93284	298667
238	93730	298448
239	94111	298020
240	94600	297931
241	94954	297418
242	95287	296841
243	95719	296573
244	96152	296306
245	96660	296267
246	97126	296099
247	97481	295588
248	97980	295515
249	98339	295017
250	98754	294689
251	99124	294226
252	99499	293779
253	99910	293438
254	100331	293125
255	100693	292641
256	101013	292036
257	101457	291787
258	101763	291146
259	102048	290446
260	102426	290011
261	102864	289748
262	103250	289338
263	103641	288939
264	103959	288341
265	104364	287982
266	104735	287533
267	105124	287130
268	105464	286595
269	105783	286008
270	106192	285661
271	106488	285013
272	106835	284503
273	107185	284003
274	107579	283619
275	108094	283551
276	108564	283364
277	109092	283326
278	109575	283168
279	110036	282951
280	110561	282894
281	110965	282528
282	111295	281974
283	111680	281559
284	112051	281111
285	112324	280417
286	112724	280044
287	113138	279703
288	113499	279232
289	113926	278923
290	114257	278379
291	114631	277941
292	114969	277418
293	115493	277341
294	116111	277485
295	116429	276913
296	116806	276480
297	117136	275939
298	117446	275351
299	117875	275043
300	118248	274603
301	118607	274132
302	119033	273815
303	119431	273435
304	119833	273063
305	120249	272721
306	120572	272172
307	120932	271706
308	121271	271193
309	121693	270866
310	122289	270923
311	122798	270786
312	123296	270622
313	123612	270058
314	124092	269852
315	124472	269426
316	125002	269327
317	125500	269156
318	125995	268973
319	126415	268633
320	126806	268229
321	127251	267939
322	127829	267927
323	128275	267636
324	128694	267288
325	129209	267138
326	129842	267229
327	130166	266683
328	130528	266215
329	130796	265556
330	131140	265053
331	131457	264499
332	131800	263996
333	132169	263548
334	132506	263035
335	132853	262544
336	133183	262020
337	133519	261508
338	133879	261044
339	134116	260343
340	134418	259770
341	134710	259180
342	135123	258821
343	135438	258277
344	135700	257634
345	136027	257114
346	136370	256628
347	136681	256081
348	137102	255741
349	137465	255293
350	137924	255022
351	138422	254823
352	138768	254342
353	139155	253939
354	139467	253398
355	139787	252874
356	140160	252445
357	140462	251891
358	140896	251573
359	141255	251121
360	141535	250529
361	141898	250085
362	142188	249515
363	142532	249040
364	142917	248636
365	143198	248055
366	143521	247544
367	143878	247095
368	144227	246633
369	144624	246252
370	144989	245818
371	145338	245356
372	145703	244922
373	146029	244423
374	146350	243917
375	146732	243513
376	147002	242924
377	147336	242443
378	147705	242019
379	148199	241798
380	148522	241300
381	148853	240814
382	149134	240249
383	149447	239738
384	149753	239216
385	150076	238723
386	150431	238281
387	150733	237755
388	151073	237290
389	151440	236868
390	151819	236466
391	152165	236011
392	152540	235603
393	152807	235028
394	153203	234654
395	153506	234136
396	153852	233685
397	154167	233188
398	154471	232675
399	154833	232250
400	155191	231820
401	155521	231347
402	155852	230879
403	156205	230442
404	156550	229993
405	156893	229544
406	157185	229020
407	157571	228632
408	157888	228146
409	158340	227856
410	158738	227486
411	159186	227187
412	159491	226687
413	159845	226254
414	160146	225748
415	160486	225297
416	160804	224817
417	161131	224349
418	161478	223912
419	161819	223464
420	162128	222974
421	162458	222514
422	162806	222078
423	163116	221592
424	163498	221204
425	163994	220968
426	164358	220555
427	164677	220083
428	165027	219651
429	165362	219201
430	165695	218748
431	165986	218241
432	166384	217875
433	166669	217362
434	166965	216863
435	167335	216461
436	167690	216040
437	167988	215546
438	168343	215126
439	168708	214720
440	169089	214333
441	169397	213854
442	169758	213443
443	170092	212998
444	170403	212526
445	170796	212154
446	171148	211734
447	171484	211293
448	171785	210809
449	172098	210342
450	172457	209931
451	172815	209519
452	173129	209054
453	173429	208573
454	173769	208141
455	174115	207716
456	174398	207216
457	174699	206739
